index,analog,digital
0,4.97575e-13,4
1,2.78716e-13,8.23223
2,1.18009e-13,3.80423
3,4.18316e-13,6.41581
4,1.84033e-13,3.23607
5,3.34671e-13,4
6,1.81203e-13,2.35114
7,2.54511e-13,3.59846
8,9.97034e-14,1.23607
9,2.14999e-13,4.70308
10,5000,5065.06
11,2.14999e-13,4.70308
12,1.09244e-14,1.23607
13,2.54511e-13,3.59846
14,1.48154e-13,2.35114
15,3.34671e-13,4
16,1.61451e-13,3.23607
17,4.18316e-13,6.41581
18,1.81473e-13,3.80423
19,2.78716e-13,8.23223
20,2500,2442.66
21,2.78716e-13,8.23223
22,1.60533e-13,3.80423
23,4.18316e-13,6.41581
24,1.61451e-13,3.23607
25,3.34671e-13,4
26,7.08275e-14,2.35114
27,2.54511e-13,3.59846
28,6.24284e-14,1.23607
29,2.14999e-13,4.70308
30,1500,1537.2
31,2.14999e-13,4.70308
32,9.97034e-14,1.23607
33,2.54511e-13,3.59846
34,1.65645e-13,2.35114
35,3.34671e-13,4
36,1.56478e-13,3.23607
37,4.18316e-13,6.41581
38,1.50583e-13,3.80423
39,2.78716e-13,8.23223
40,0.000296141,56.6712
41,2.78716e-13,8.23223
42,1.01752e-13,3.80423
43,4.18316e-13,6.41581
44,1.60512e-13,3.23607
45,3.34671e-13,4
46,1.0669e-13,2.35114
47,2.54511e-13,3.59846
48,9.97034e-14,1.23607
49,2.14999e-13,4.70308
50,0.00159327,142.147
51,2.14999e-13,4.70308
52,8.60521e-14,1.23607
53,2.54511e-13,3.59846
54,1.06793e-13,2.35114
55,3.34671e-13,4
56,1.61451e-13,3.23607
57,4.18316e-13,6.41581
58,7.09773e-14,3.80423
59,2.78716e-13,8.23223
60,0.00183941,4.13708
61,2.78716e-13,8.23223
62,5.54246e-14,3.80423
63,4.18316e-13,6.41581
64,1.61451e-13,3.23607
65,3.34671e-13,4
66,1.18955e-13,2.35114
67,2.54511e-13,3.59846
68,9.55884e-14,1.23607
69,2.14999e-13,4.70308
70,0.00111106,35.1665
71,2.14999e-13,4.70308
72,9.97034e-14,1.23607
73,2.54511e-13,3.59846
74,1.55545e-13,2.35114
75,3.34671e-13,4
76,1.55802e-13,3.23607
77,4.18316e-13,6.41581
78,5.34799e-14,3.80423
79,2.78716e-13,8.23223
80,0.000489901,114.615
81,2.78716e-13,8.23223
82,6.87638e-14,3.80423
83,4.18316e-13,6.41581
84,1.77894e-13,3.23607
85,3.34671e-13,4
86,1.34243e-13,2.35114
87,2.54511e-13,3.59846
88,9.97034e-14,1.23607
89,2.14999e-13,4.70308
90,0.000949048,74.8715
91,2.14999e-13,4.70308
92,1.17393e-13,1.23607
93,2.54511e-13,3.59846
94,7.49585e-14,2.35114
95,3.34671e-13,4
96,1.61451e-13,3.23607
97,4.18316e-13,6.41581
98,1.54981e-14,3.80423
99,2.78716e-13,8.23223
100,0.00117653,47.1926
101,2.78716e-13,8.23223
102,7.71449e-14,3.80423
103,4.18316e-13,6.41581
104,1.61451e-13,3.23607
105,3.34671e-13,4
106,7.36657e-14,2.35114
107,2.54511e-13,3.59846
108,1.24284e-13,1.23607
109,2.14999e-13,4.70308
110,0.000377115,36.5973
111,2.14999e-13,4.70308
112,9.97034e-14,1.23607
113,2.54511e-13,3.59846
114,8.64887e-14,2.35114
115,3.34671e-13,4
116,1.76864e-13,3.23607
117,4.18316e-13,6.41581
118,7.88422e-14,3.80423
119,2.78716e-13,8.23223
120,0.000933741,29.0263
121,2.78716e-13,8.23223
122,5.28984e-14,3.80423
123,4.18316e-13,6.41581
124,1.40336e-13,3.23607
125,3.34671e-13,4
126,1.13794e-13,2.35114
127,2.54511e-13,3.59846
128,9.97034e-14,1.23607
129,2.14999e-13,4.70308
130,0.000807292,75.7332
131,2.14999e-13,4.70308
132,1.10567e-13,1.23607
133,2.54511e-13,3.59846
134,9.80867e-14,2.35114
135,3.34671e-13,4
136,1.61451e-13,3.23607
137,4.18316e-13,6.41581
138,1.4921e-13,3.80423
139,2.78716e-13,8.23223
140,0.000700188,31.1839
141,2.78716e-13,8.23223
142,9.13722e-14,3.80423
143,4.18316e-13,6.41581
144,1.61451e-13,3.23607
145,3.34671e-13,4
146,1.3461e-13,2.35114
147,2.54511e-13,3.59846
148,1.03052e-13,1.23607
149,2.14999e-13,4.70308
150,0.000199225,129.655
151,2.14999e-13,4.70308
152,9.97034e-14,1.23607
153,2.54511e-13,3.59846
154,1.03651e-13,2.35114
155,3.34671e-13,4
156,1.58601e-13,3.23607
157,4.18316e-13,6.41581
158,7.17364e-14,3.80423
159,2.78716e-13,8.23223
160,0.000200428,34.4659
161,2.78716e-13,8.23223
162,7.70105e-14,3.80423
163,4.18316e-13,6.41581
164,1.62739e-13,3.23607
165,3.34671e-13,4
166,1.51859e-13,2.35114
167,2.54511e-13,3.59846
168,9.97034e-14,1.23607
169,2.14999e-13,4.70308
170,0.00171789,60.8595
171,2.14999e-13,4.70308
172,1.43262e-13,1.23607
173,2.54511e-13,3.59846
174,9.75953e-14,2.35114
175,3.34671e-13,4
176,1.61451e-13,3.23607
177,4.18316e-13,6.41581
178,7.01483e-14,3.80423
179,2.78716e-13,8.23223
180,0.00183405,26.0538
181,2.78716e-13,8.23223
182,1.21387e-13,3.80423
183,4.18316e-13,6.41581
184,1.61451e-13,3.23607
185,3.34671e-13,4
186,4.82749e-14,2.35114
187,2.54511e-13,3.59846
188,6.52313e-14,1.23607
189,2.14999e-13,4.70308
190,0.000509193,0.362023
191,2.14999e-13,4.70308
192,9.97034e-14,1.23607
193,2.54511e-13,3.59846
194,1.14894e-13,2.35114
195,3.34671e-13,4
196,1.59762e-13,3.23607
197,4.18316e-13,6.41581
198,6.60324e-14,3.80423
199,2.78716e-13,8.23223
200,0.00164736,123.172
201,2.78716e-13,8.23223
202,1.12876e-13,3.80423
203,4.18316e-13,6.41581
204,1.41563e-13,3.23607
205,3.34671e-13,4
206,9.34329e-14,2.35114
207,2.54511e-13,3.59846
208,9.97034e-14,1.23607
209,2.14999e-13,4.70308
210,0.00157782,109.242
211,2.14999e-13,4.70308
212,4.62449e-14,1.23607
213,2.54511e-13,3.59846
214,7.44658e-14,2.35114
215,3.34671e-13,4
216,1.61451e-13,3.23607
217,4.18316e-13,6.41581
218,6.94308e-14,3.80423
219,2.78716e-13,8.23223
220,0.00061243,118.67
221,2.78716e-13,8.23223
222,1.25977e-13,3.80423
223,4.18316e-13,6.41581
224,1.61451e-13,3.23607
225,3.34671e-13,4
226,1.1554e-13,2.35114
227,2.54511e-13,3.59846
228,1.23929e-13,1.23607
229,2.14999e-13,4.70308
230,0.0013287,27.8411
231,2.14999e-13,4.70308
232,9.97034e-14,1.23607
233,2.54511e-13,3.59846
234,1.26064e-13,2.35114
235,3.34671e-13,4
236,1.55851e-13,3.23607
237,4.18316e-13,6.41581
238,9.05721e-14,3.80423
239,2.78716e-13,8.23223
240,2.34787e-05,63.9468
241,2.78716e-13,8.23223
242,8.31286e-14,3.80423
243,4.18316e-13,6.41581
244,1.75585e-13,3.23607
245,3.34671e-13,4
246,9.13346e-14,2.35114
247,2.54511e-13,3.59846
248,9.97034e-14,1.23607
249,2.14999e-13,4.70308
250,0.00214,60
251,2.14999e-13,4.70308
252,9.17996e-14,1.23607
