time,analog,digital
0,0,8
0.0002,1.81672,8
0.0004,3.60116,9
0.0006,5.32192,10
0.0008,6.94931,11
0.001,8.45615,12
0.0012,9.81846,12
0.0014,11.0161,13
0.0016,12.0333,14
0.0018,12.8587,14
0.002,13.4863,14
0.0022,13.9146,14
0.0024,14.1471,15
0.0026,14.1921,15
0.0028,14.0618,15
0.003,13.7725,14
0.0032,13.3434,14
0.0034,12.7963,14
0.0036,12.1548,14
0.0038,11.4432,13
0.004,10.6861,13
0.0042,9.90769,12
0.0044,9.13051,12
0.0046,8.37527,12
0.0048,7.66007,11
0.005,7,11
0.0052,6.40674,11
0.0054,5.88837,10
0.0056,5.44927,10
0.0058,5.09016,10
0.006,4.80828,10
0.0062,4.59769,10
0.0064,4.44963,10
0.0066,4.35306,10
0.0068,4.29514,10
0.007,4.26194,10
0.0072,4.23896,10
0.0074,4.21182,10
0.0076,4.16688,10
0.0078,4.09172,10
0.008,3.97574,9
0.0082,3.81048,9
0.0084,3.58998,9
0.0086,3.31098,9
0.0088,2.97299,9
0.009,2.57829,9
0.0092,2.13177,9
0.0094,1.64067,8
0.0096,1.11426,8
0.0098,0.563383,8
0.01,1.10218e-15,8
0.0102,-0.563383,7
0.0104,-1.11426,7
0.0106,-1.64067,7
0.0108,-2.13177,6
0.011,-2.57829,6
0.0112,-2.97299,6
0.0114,-3.31098,6
0.0116,-3.58998,6
0.0118,-3.81048,6
0.012,-3.97574,6
0.0122,-4.09172,5
0.0124,-4.16688,5
0.0126,-4.21182,5
0.0128,-4.23896,5
0.013,-4.26194,5
0.0132,-4.29514,5
0.0134,-4.35306,5
0.0136,-4.44963,5
0.0138,-4.59769,5
0.014,-4.80828,5
0.0142,-5.09016,5
0.0144,-5.44927,5
0.0146,-5.88837,5
0.0148,-6.40674,4
0.015,-7,4
0.0152,-7.66007,4
0.0154,-8.37527,3
0.0156,-9.13051,3
0.0158,-9.90769,3
0.016,-10.6861,2
0.0162,-11.4432,2
0.0164,-12.1548,1
0.0166,-12.7963,1
0.0168,-13.3434,1
0.017,-13.7725,1
0.0172,-14.0618,0
0.0174,-14.1921,0
0.0176,-14.1471,0
0.0178,-13.9146,1
0.018,-13.4863,1
0.0182,-12.8587,1
0.0184,-12.0333,1
0.0186,-11.0161,2
0.0188,-9.81846,3
0.019,-8.45615,3
0.0192,-6.94931,4
0.0194,-5.32192,5
0.0196,-3.60116,6
0.0198,-1.81672,7
0.02,-7.10295e-15,7
0.0202,1.81672,8
0.0204,3.60116,9
0.0206,5.32192,10
0.0208,6.94931,11
0.021,8.45615,12
0.0212,9.81846,12
0.0214,11.0161,13
0.0216,12.0333,14
0.0218,12.8587,14
0.022,13.4863,14
0.0222,13.9146,14
0.0224,14.1471,15
0.0226,14.1921,15
0.0228,14.0618,15
0.023,13.7725,14
0.0232,13.3434,14
0.0234,12.7963,14
0.0236,12.1548,14
0.0238,11.4432,13
0.024,10.6861,13
0.0242,9.90769,12
0.0244,9.13051,12
0.0246,8.37527,12
0.0248,7.66007,11
0.025,7,11
0.0252,6.40674,11
0.0254,5.88837,10
0.0256,5.44927,10
0.0258,5.09016,10
0.026,4.80828,10
0.0262,4.59769,10
0.0264,4.44963,10
0.0266,4.35306,10
0.0268,4.29514,10
0.027,4.26194,10
0.0272,4.23896,10
0.0274,4.21182,10
0.0276,4.16688,10
0.0278,4.09172,10
