time,analog,digital
0,0,8
0.001,8.45615,12
0.002,13.4863,14
0.003,13.7725,14
0.004,10.6861,13
0.005,7,11
0.006,4.80828,10
0.007,4.26194,10
0.008,3.97574,9
0.009,2.57829,9
0.01,1.10218e-15,8
0.011,-2.57829,6
0.012,-3.97574,6
0.013,-4.26194,5
0.014,-4.80828,5
0.015,-7,4
0.016,-10.6861,2
0.017,-13.7725,1
0.018,-13.4863,1
0.019,-8.45615,3
0.02,-7.10295e-15,7
0.021,8.45615,12
0.022,13.4863,14
0.023,13.7725,14
0.024,10.6861,13
0.025,7,11
0.026,4.80828,10
0.027,4.26194,10
0.028,3.97574,9
0.029,2.57829,9
0.03,3.30655e-15,8
0.031,-2.57829,6
0.032,-3.97574,6
0.033,-4.26194,5
0.034,-4.80828,5
0.035,-7,4
0.036,-10.6861,2
0.037,-13.7725,1
0.038,-13.4863,1
0.039,-8.45615,3
0.04,-1.42059e-14,7
0.041,8.45615,12
0.042,13.4863,14
0.043,13.7725,14
0.044,10.6861,13
0.045,7,11
0.046,4.80828,10
0.047,4.26194,10
0.048,3.97574,9
0.049,2.57829,9
0.05,-5.14723e-15,7
0.051,-2.57829,6
0.052,-3.97574,6
0.053,-4.26194,5
0.054,-4.80828,5
0.055,-7,4
0.056,-10.6861,2
0.057,-13.7725,1
0.058,-13.4863,1
0.059,-8.45615,3
0.06,-2.13089e-14,7
0.061,8.45615,12
0.062,13.4863,14
0.063,13.7725,14
0.064,10.6861,13
0.065,7,11
0.066,4.80828,10
0.067,4.26194,10
0.068,3.97574,9
0.069,2.57829,9
0.07,-2.94287e-15,7
0.071,-2.57829,6
0.072,-3.97574,6
0.073,-4.26194,5
0.074,-4.80828,5
0.075,-7,4
0.076,-10.6861,2
0.077,-13.7725,1
0.078,-13.4863,1
0.079,-8.45615,3
0.08,-2.84118e-14,7
0.081,8.45615,12
0.082,13.4863,14
0.083,13.7725,14
0.084,10.6861,13
0.085,7,11
0.086,4.80828,10
0.087,4.26194,10
0.088,3.97574,9
0.089,2.57829,9
0.09,2.05778e-14,8
0.091,-2.57829,6
0.092,-3.97574,6
0.093,-4.26194,5
0.094,-4.80828,5
0.095,-7,4
0.096,-10.6861,2
0.097,-13.7725,1
0.098,-13.4863,1
0.099,-8.45615,3
