index,analog,restored
0,0,1
1,1.81672,1
2,3.60116,3
3,5.32192,5
4,6.94931,7
5,8.45615,9
6,9.81846,9
7,11.0161,11
8,12.0333,13
9,12.8587,13
10,13.4863,13
11,13.9146,13
12,14.1471,15
13,14.1921,15
14,14.0618,15
15,13.7725,13
16,13.3434,13
17,12.7963,13
18,12.1548,13
19,11.4432,11
20,10.6861,11
21,9.90769,9
22,9.13051,9
23,8.37527,9
24,7.66007,7
25,7,7
26,6.40674,7
27,5.88837,5
28,5.44927,5
29,5.09016,5
30,4.80828,5
31,4.59769,5
32,4.44963,5
33,4.35306,5
34,4.29514,5
35,4.26194,5
36,4.23896,5
37,4.21182,5
38,4.16688,5
39,4.09172,5
40,3.97574,3
41,3.81048,3
42,3.58998,3
43,3.31098,3
44,2.97299,3
45,2.57829,3
46,2.13177,3
47,1.64067,1
48,1.11426,1
49,0.563383,1
50,1.10218e-15,1
51,-0.563383,-1
52,-1.11426,-1
53,-1.64067,-1
54,-2.13177,-3
55,-2.57829,-3
56,-2.97299,-3
57,-3.31098,-3
58,-3.58998,-3
59,-3.81048,-3
60,-3.97574,-3
61,-4.09172,-5
62,-4.16688,-5
63,-4.21182,-5
64,-4.23896,-5
65,-4.26194,-5
66,-4.29514,-5
67,-4.35306,-5
68,-4.44963,-5
69,-4.59769,-5
70,-4.80828,-5
71,-5.09016,-5
72,-5.44927,-5
73,-5.88837,-5
74,-6.40674,-7
75,-7,-7
76,-7.66007,-7
77,-8.37527,-9
78,-9.13051,-9
79,-9.90769,-9
80,-10.6861,-11
81,-11.4432,-11
82,-12.1548,-13
83,-12.7963,-13
84,-13.3434,-13
85,-13.7725,-13
86,-14.0618,-15
87,-14.1921,-15
88,-14.1471,-15
89,-13.9146,-13
90,-13.4863,-13
91,-12.8587,-13
92,-12.0333,-13
93,-11.0161,-11
94,-9.81846,-9
95,-8.45615,-9
96,-6.94931,-7
97,-5.32192,-5
98,-3.60116,-3
99,-1.81672,-1
100,-7.10295e-15,-1
101,1.81672,1
102,3.60116,3
103,5.32192,5
104,6.94931,7
105,8.45615,9
106,9.81846,9
107,11.0161,11
108,12.0333,13
109,12.8587,13
110,13.4863,13
111,13.9146,13
112,14.1471,15
113,14.1921,15
114,14.0618,15
115,13.7725,13
116,13.3434,13
117,12.7963,13
118,12.1548,13
119,11.4432,11
120,10.6861,11
121,9.90769,9
122,9.13051,9
123,8.37527,9
124,7.66007,7
125,7,7
126,6.40674,7
127,5.88837,5
128,5.44927,5
129,5.09016,5
130,4.80828,5
131,4.59769,5
132,4.44963,5
133,4.35306,5
134,4.29514,5
135,4.26194,5
136,4.23896,5
137,4.21182,5
138,4.16688,5
139,4.09172,5
140,3.97574,3
141,3.81048,3
142,3.58998,3
143,3.31098,3
144,2.97299,3
145,2.57829,3
146,2.13177,3
147,1.64067,1
148,1.11426,1
149,0.563383,1
150,-7.35159e-15,-1
151,-0.563383,-1
152,-1.11426,-1
153,-1.64067,-1
154,-2.13177,-3
155,-2.57829,-3
156,-2.97299,-3
157,-3.31098,-3
158,-3.58998,-3
159,-3.81048,-3
160,-3.97574,-3
161,-4.09172,-5
162,-4.16688,-5
163,-4.21182,-5
164,-4.23896,-5
165,-4.26194,-5
166,-4.29514,-5
167,-4.35306,-5
168,-4.44963,-5
169,-4.59769,-5
170,-4.80828,-5
171,-5.09016,-5
172,-5.44927,-5
173,-5.88837,-5
174,-6.40674,-7
175,-7,-7
176,-7.66007,-7
177,-8.37527,-9
178,-9.13051,-9
179,-9.90769,-9
180,-10.6861,-11
181,-11.4432,-11
182,-12.1548,-13
183,-12.7963,-13
184,-13.3434,-13
185,-13.7725,-13
186,-14.0618,-15
187,-14.1921,-15
188,-14.1471,-15
189,-13.9146,-13
190,-13.4863,-13
191,-12.8587,-13
192,-12.0333,-13
193,-11.0161,-11
194,-9.81846,-9
195,-8.45615,-9
196,-6.94931,-7
197,-5.32192,-5
198,-3.60116,-3
199,-1.81672,-1
200,-1.42059e-14,-1
201,1.81672,1
202,3.60116,3
203,5.32192,5
204,6.94931,7
205,8.45615,9
206,9.81846,9
207,11.0161,11
208,12.0333,13
209,12.8587,13
210,13.4863,13
211,13.9146,13
212,14.1471,15
213,14.1921,15
214,14.0618,15
215,13.7725,13
216,13.3434,13
217,12.7963,13
218,12.1548,13
219,11.4432,11
220,10.6861,11
221,9.90769,9
222,9.13051,9
223,8.37527,9
224,7.66007,7
225,7,7
226,6.40674,7
227,5.88837,5
228,5.44927,5
229,5.09016,5
230,4.80828,5
231,4.59769,5
232,4.44963,5
233,4.35306,5
234,4.29514,5
235,4.26194,5
236,4.23896,5
237,4.21182,5
238,4.16688,5
239,4.09172,5
240,3.97574,3
241,3.81048,3
242,3.58998,3
243,3.31098,3
244,2.97299,3
245,2.57829,3
246,2.13177,3
247,1.64067,1
248,1.11426,1
249,0.563383,1
250,-5.14723e-15,-1
251,-0.563383,-1
252,-1.11426,-1
253,-1.64067,-1
254,-2.13177,-3
255,-2.57829,-3
256,-2.97299,-3
257,-3.31098,-3
258,-3.58998,-3
259,-3.81048,-3
260,-3.97574,-3
261,-4.09172,-5
262,-4.16688,-5
263,-4.21182,-5
264,-4.23896,-5
265,-4.26194,-5
266,-4.29514,-5
267,-4.35306,-5
268,-4.44963,-5
269,-4.59769,-5
270,-4.80828,-5
271,-5.09016,-5
272,-5.44927,-5
273,-5.88837,-5
274,-6.40674,-7
275,-7,-7
276,-7.66007,-7
277,-8.37527,-9
278,-9.13051,-9
279,-9.90769,-9
280,-10.6861,-11
281,-11.4432,-11
282,-12.1548,-13
283,-12.7963,-13
284,-13.3434,-13
285,-13.7725,-13
286,-14.0618,-15
287,-14.1921,-15
288,-14.1471,-15
289,-13.9146,-13
290,-13.4863,-13
291,-12.8587,-13
292,-12.0333,-13
293,-11.0161,-11
294,-9.81846,-9
295,-8.45615,-9
296,-6.94931,-7
297,-5.32192,-5
298,-3.60116,-3
299,-1.81672,-1
300,7.10617e-14,1
301,1.81672,1
302,3.60116,3
303,5.32192,5
304,6.94931,7
305,8.45615,9
306,9.81846,9
307,11.0161,11
308,12.0333,13
309,12.8587,13
310,13.4863,13
311,13.9146,13
312,14.1471,15
313,14.1921,15
314,14.0618,15
315,13.7725,13
316,13.3434,13
317,12.7963,13
318,12.1548,13
319,11.4432,11
320,10.6861,11
321,9.90769,9
322,9.13051,9
323,8.37527,9
324,7.66007,7
325,7,7
326,6.40674,7
327,5.88837,5
328,5.44927,5
329,5.09016,5
330,4.80828,5
331,4.59769,5
332,4.44963,5
333,4.35306,5
334,4.29514,5
335,4.26194,5
336,4.23896,5
337,4.21182,5
338,4.16688,5
339,4.09172,5
340,3.97574,3
341,3.81048,3
342,3.58998,3
343,3.31098,3
344,2.97299,3
345,2.57829,3
346,2.13177,3
347,1.64067,1
348,1.11426,1
349,0.563383,1
350,-2.94287e-15,-1
351,-0.563383,-1
352,-1.11426,-1
353,-1.64067,-1
354,-2.13177,-3
355,-2.57829,-3
356,-2.97299,-3
357,-3.31098,-3
358,-3.58998,-3
359,-3.81048,-3
360,-3.97574,-3
361,-4.09172,-5
362,-4.16688,-5
363,-4.21182,-5
364,-4.23896,-5
365,-4.26194,-5
366,-4.29514,-5
367,-4.35306,-5
368,-4.44963,-5
369,-4.59769,-5
370,-4.80828,-5
371,-5.09016,-5
372,-5.44927,-5
373,-5.88837,-5
374,-6.40674,-7
375,-7,-7
376,-7.66007,-7
377,-8.37527,-9
378,-9.13051,-9
379,-9.90769,-9
380,-10.6861,-11
381,-11.4432,-11
382,-12.1548,-13
383,-12.7963,-13
384,-13.3434,-13
385,-13.7725,-13
386,-14.0618,-15
387,-14.1921,-15
388,-14.1471,-15
389,-13.9146,-13
390,-13.4863,-13
391,-12.8587,-13
392,-12.0333,-13
393,-11.0161,-11
394,-9.81846,-9
395,-8.45615,-9
396,-6.94931,-7
397,-5.32192,-5
398,-3.60116,-3
399,-1.81672,-1
400,-2.84118e-14,-1
401,1.81672,1
402,3.60116,3
403,5.32192,5
404,6.94931,7
405,8.45615,9
406,9.81846,9
407,11.0161,11
408,12.0333,13
409,12.8587,13
410,13.4863,13
411,13.9146,13
412,14.1471,15
413,14.1921,15
414,14.0618,15
415,13.7725,13
416,13.3434,13
417,12.7963,13
418,12.1548,13
419,11.4432,11
420,10.6861,11
421,9.90769,9
422,9.13051,9
423,8.37527,9
424,7.66007,7
425,7,7
426,6.40674,7
427,5.88837,5
428,5.44927,5
429,5.09016,5
430,4.80828,5
431,4.59769,5
